model_type,split,run_id,rmse,mae,r2,roc_auc,pr_auc,support
xgboost,train,20260727_234321,0.03795780427647776,0.02652342643389059,0.12123862338226787,0.5768025178537416,0.2779154551833032,313337
xgboost,val,20260727_234321,0.03875559053935142,0.02784617877377124,-0.0061837052150390814,0.5410434037326075,0.24086181583823452,57536
xgboost,test,20260727_234321,0.04757976498315676,0.03362744827970314,-0.009889476184840484,0.518286128256063,0.2401502654103534,44428
lightgbm,train,20260727_234331,0.03851470514462054,0.026730010527746283,0.09526383411068917,0.5695362239760032,0.2686381390388997,313337
lightgbm,val,20260727_234331,0.038737919269522816,0.027825636768352365,-0.0052663413026778905,0.5426488651777921,0.24379517252048688,57536
lightgbm,test,20260727_234331,0.04755803377294174,0.03360199683107292,-0.008967188789816394,0.5232167370808457,0.24008031568697352,44428
random_forest,train,20260727_234337,0.03845347000102201,0.026726063265902236,0.09813845599065552,0.5792074934247919,0.27010047474485893,313337
random_forest,val,20260727_234337,0.03868326619945324,0.02778620834712034,-0.0024317990053228655,0.5512280127267556,0.24439495959979227,57536
random_forest,test,20260727_234337,0.047436155855802534,0.0335303300431879,-0.003802414731328696,0.5311914028209737,0.24331075556933116,44428
catboost,train,20260727_234437,0.039204032689724784,0.027005362441455145,0.06258849012314482,0.5566380968214488,0.253032620539773,313337
catboost,val,20260727_234437,0.0386587181297115,0.02777556514768399,-0.001159933405986191,0.5426930116304443,0.24141324916631635,57536
catboost,test,20260727_234437,0.04741533530890917,0.03351540103418955,-0.002921435729220434,0.5262938716545238,0.2431819902839548,44428
