arm,stage,split,ic_overall,ic_mean_daily,ic_std_daily,ic_ir,top_decile_hit_rate
full,A,test,0.021691945937547384,0.00019361125770729585,0.18209720048083558,0.0010632302813884942,0.29264577893820715
returns,A,test,0.031859050090524796,0.014272842604693515,0.1563657689652435,0.09127856243181995,0.27328111401218447
trend,A,test,0.02534812954721383,-0.0009575830547038729,0.16627218899917395,-0.00575912941585577,0.27088772845953
momentum,A,test,0.017948324246499267,-0.012021383540661021,0.16570837467453622,-0.07254541941088932,0.2158398607484769
volatility,A,test,-0.0025038035600456338,-0.0014931414764589126,0.16236246646152253,-0.009196346353932513,0.293733681462141
volume,A,test,0.007770386767556011,-0.007920019849105427,0.16189386289364457,-0.04892106289605584,0.19625761531766756
returns_volatility,A,test,0.029090088030377197,0.013047918901583255,0.17779106134801734,0.07338906018476704,0.29960835509138384
top5,B,test,0.027245724411367828,0.014029770482565772,0.1687512823154321,0.08313874887386717,0.2939512619669278
top10,B,test,0.02780417771326018,0.005658971794628266,0.1777307187752927,0.03184014465041903,0.29721496953872933
cum80,B,test,0.023929237376706384,-0.0007113016310837064,0.18255624927893552,-0.0038963422720023027,0.2950391644908616
