arm,stage,split,run_id,n_features,rmse,mae,r2,roc_auc,pr_auc,support
full,A,train,20260728_024132,19,0.03795780427647776,0.02652342643389059,0.12123862338226787,0.5768025178537416,0.2779154551833032,313337
full,A,val,20260728_024132,19,0.03875559053935142,0.02784617877377124,-0.0061837052150390814,0.5410434037326075,0.24086181583823452,57536
full,A,test,20260728_024132,19,0.04757976498315676,0.03362744827970314,-0.009889476184840484,0.518286128256063,0.2401502654103534,44428
returns,A,train,20260728_024137,3,0.039871294510125624,0.027217272795064563,0.030407005910446983,0.544578827413976,0.24277698758154553,313337
returns,A,val,20260728_024137,3,0.03867333780430919,0.027767839705549368,-0.001917299441013487,0.5269501055045083,0.23289962914804535,57536
returns,A,test,20260728_024137,3,0.04748416673580383,0.03354447225097014,-0.005835371452926008,0.5167526275149209,0.23182604230536552,44428
trend,A,train,20260728_024141,8,0.03939250825209808,0.027040882042121444,0.0535535084243568,0.5457765133701009,0.2507877934232604,313337
trend,A,val,20260728_024141,8,0.038704452874994334,0.027802239241071076,-0.0035301557576916665,0.5211704115332666,0.22842629395249348,57536
trend,A,test,20260728_024141,8,0.04755324708387132,0.033594777113808136,-0.008764095062721466,0.5096670602702691,0.23038597921778317,44428
momentum,A,train,20260728_024146,3,0.0402170948289874,0.027299381279034206,0.01351567985014479,0.5386302852777743,0.2310092371078036,313337
momentum,A,val,20260728_024146,3,0.0386890753090284,0.02781271717426182,-0.002732894232027938,0.5077319454493474,0.21028140532496217,57536
momentum,A,test,20260728_024146,3,0.04739248386026244,0.03350405360053263,-0.0019549684497692787,0.4943676020405391,0.20923159260341836,44428
volatility,A,train,20260728_024151,3,0.03988648477795693,0.027216893263350854,0.029668069135205477,0.5729251676743916,0.26212275421118814,313337
volatility,A,val,20260728_024151,3,0.038679533492848084,0.027789317794730713,-0.002238350848796422,0.5590296862098754,0.25937509547083965,57536
volatility,A,test,20260728_024151,3,0.047619517145308606,0.03362325081906832,-0.011577675385208153,0.5291833464390452,0.24271088941796765,44428
volume,A,train,20260728_024155,2,0.04043843537948263,0.027402199779140733,0.0026272832177468564,0.5155886231902104,0.21253857690452074,313337
volume,A,val,20260728_024155,2,0.0386482779102304,0.027770541236265406,-0.0006192575345769225,0.5062796863056038,0.2095784222375757,57536
volume,A,test,20260728_024155,2,0.047379481221569465,0.03350555694732172,-0.0014052495835594758,0.4859141847817442,0.201293394784783,44428
returns_volatility,A,train,20260728_024200,6,0.03884086617632867,0.026850223735911265,0.0798754695475028,0.5743271968408091,0.2692052297160137,313337
returns_volatility,A,val,20260728_024200,6,0.0387463262734296,0.027812564566293156,-0.005702719677006751,0.5519213746422408,0.24933266069790888,57536
returns_volatility,A,test,20260728_024200,6,0.04753072991225744,0.033573812684090425,-0.007808991560502632,0.5338341760409803,0.24569419792511413,44428
top5,B,train,20260728_024204,5,0.03903406266650957,0.02690742256003018,0.07069920994699963,0.5734721268657018,0.2665886494349724,313337
top5,B,val,20260728_024204,5,0.03872376729891155,0.02780797455267987,-0.004531975527157117,0.5416816269947448,0.24027826510972428,57536
top5,B,test,20260728_024204,5,0.04761977538323391,0.0336340158114198,-0.011588646871025343,0.5374059379273373,0.2443255221391089,44428
top10,B,train,20260728_024209,10,0.038158672112946976,0.0266000206032668,0.11191342942152294,0.5772812799812409,0.2763269229139317,313337
top10,B,val,20260728_024209,10,0.03876481869707076,0.027839580538841124,-0.006662930392975719,0.5349818245222533,0.23957642556472725,57536
top10,B,test,20260728_024209,10,0.04757845604017056,0.03360047536712336,-0.009833911826157227,0.5200267151760785,0.23989961474842747,44428
cum80,B,train,20260728_024213,15,0.03800826971322775,0.02654388539870757,0.11890041876015056,0.5777979199307247,0.2778635636285459,313337
cum80,B,val,20260728_024213,15,0.038787808503373426,0.02785863608623378,-0.007857304525626496,0.5386661235624831,0.23997344291943346,57536
cum80,B,test,20260728_024213,15,0.047627632325932374,0.03363855652437632,-0.01192248505701854,0.5179216920254535,0.23910678200967073,44428
