arm,stage,split,top_decile_mean_return,bottom_decile_mean_return,top_minus_bottom
full,A,test,0.010362552393023597,0.006579785531095929,0.003782766861927668
returns,A,test,0.009693270403960045,0.0061822582673534505,0.003511012136606594
trend,A,test,0.008084774267596852,0.006693800769074785,0.0013909734985220667
momentum,A,test,0.006943910832234423,0.0033981786345526855,0.0035457321976817375
volatility,A,test,0.008625415952047214,0.01103447288276029,-0.0024090569307130758
volume,A,test,0.003963535576594028,0.0033069299832824608,0.0006566055933115676
returns_volatility,A,test,0.0106557782295151,0.005883071261200567,0.004772706968314533
top5,B,test,0.010470231671980261,0.006001195109434961,0.0044690365625453
top10,B,test,0.009974520868763144,0.006238123757143615,0.0037363971116195285
cum80,B,test,0.010725517414029934,0.006590176765442846,0.004135340648587088
