target,target_col,purge_horizon,split,run_id,rmse,mae,r2,roc_auc,pr_auc,support
A_5d_absolute,forward_return_5d,5,train,20260729_021206,0.03903406266650957,0.02690742256003018,0.07069920994699963,0.5734721268657018,0.2665886494349724,313337
A_5d_absolute,forward_return_5d,5,val,20260729_021206,0.03872376729891155,0.02780797455267987,-0.004531975527157117,0.5416816269947448,0.24027826510972428,57536
A_5d_absolute,forward_return_5d,5,test,20260729_021206,0.047536555660043535,0.03360524696145523,-0.008959093372979732,0.5370663424424759,0.24560295858017658,43848
B_3d_absolute,forward_return_3d,3,train,20260729_021212,0.030609429979970574,0.02079585811257206,0.06669504944802573,0.5636065337380258,0.25832793792365677,313569
B_3d_absolute,forward_return_3d,3,val,20260729_021212,0.030019608571490792,0.021152258355318792,-0.004683187767079655,0.5369320557505033,0.2386480215687875,57768
B_3d_absolute,forward_return_3d,3,test,20260729_021212,0.037085533507222414,0.025667782549104,-0.011640865573099068,0.5330056808015745,0.2445890158917478,43848
C_10d_absolute,forward_return_10d,10,train,20260729_021217,0.05432041995066466,0.038129216591838586,0.06069721328697675,0.5679713120873249,0.2589560792789435,312757
C_10d_absolute,forward_return_10d,10,val,20260729_021217,0.05445840380405918,0.03997038583069638,0.00092685847502183,0.5482169881834772,0.24862891309433957,56956
C_10d_absolute,forward_return_10d,10,test,20260729_021217,0.06675266877703437,0.04757794695863435,-0.0045619159338239346,0.5421793900210529,0.25011572612325744,43848
D_5d_relative,forward_return_5d_rel,5,train,20260729_021222,0.03241686506702574,0.02159661603789654,0.0503681801459791,0.5810354422319945,0.28511389893189776,313337
D_5d_relative,forward_return_5d_rel,5,val,20260729_021222,0.03497766821966284,0.02419918712038776,-0.0035690045042644503,0.5310363783338234,0.23921793612866465,57536
D_5d_relative,forward_return_5d_rel,5,test,20260729_021222,0.04409079334677936,0.030442131090540846,-0.005928372176992935,0.5210832763802724,0.2373531182789583,43848
